Sample code,Total per sample,Concentration (particles/L),0.02–0.1,0.1–0.5,0.5–1,1–2,2–3,3–4,4–5,Fibers,Fragments,Pellets,Films
BS1,69,23,18,37,13,1,0,0,0,56,7,6,0
BS2,48,16,4,20,19,5,0,0,0,40,6,0,2
BS3,51,17,5,29,13,3,1,0,0,45,2,3,1
BS4,94,31,9,51,17,16,1,0,0,86,6,1,1
BS5,55,18,6,26,13,10,0,0,0,50,4,1,0
BS6,60,20,8,37,10,4,1,0,0,50,9,0,1
BS7,45,15,7,20,13,5,0,0,0,37,8,0,0
BS8,37,12,0,25,10,2,0,0,0,32,2,1,2
BS9,41,14,1,23,14,3,0,0,0,36,2,0,3
BS10,27,9,5,12,5,5,0,0,0,21,5,1,0
SL1,44,14,8,19,8,9,0,0,0,33,9,2,0
SL2,14,4.7,2,3,7,1,1,0,0,9,5,0,0
SL3,29,9.7,6,14,5,4,0,0,0,20,6,3,0
SL4,45,15,5,19,11,5,4,0,1,38,3,4,0
SL5,41,14,8,17,9,5,1,0,1,33,5,3,0
SL6,47,16,8,20,6,11,1,0,1,39,6,2,0
SL7,15,5,0,9,2,0,3,1,0,14,1,0,0
SL8,30,10,2,15,9,3,0,1,0,27,1,1,1
SL9,26,8.7,10,9,3,4,0,0,0,14,8,3,1
SL10,27,9,5,10,7,5,0,0,0,20,4,3,0
TS1,24,8,3,10,9,2,0,0,0,21,3,0,0
TS2,47,16,6,23,15,3,0,0,0,38,8,0,1
TS3,60,20,8,29,15,7,1,0,0,46,14,0,0
TS4,46,15,5,26,12,2,0,1,0,38,8,0,0
TS5,24,8,1,8,10,5,0,0,0,21,2,0,1
TS6,40,13,6,20,8,6,0,0,0,32,6,0,2
TS7,36,12,5,15,9,6,1,0,0,31,4,1,0
TS8,33,11,4,17,8,4,0,0,0,28,4,1,0
TS9,26,8.7,3,11,5,7,0,0,0,21,5,0,0
TS10,55,18,3,28,15,8,0,1,0,51,0,2,2
