Sample_ID,Location,Countries,Source,Concentration,Concentration_Units
1|10.1016/j.watres.2017.11.011,Germany,Germany,bottled water,14.0,particles/L
2|10.1016/j.watres.2017.11.011,Germany,Germany,bottled water,118.0,particles/L
3|10.1016/j.watres.2017.11.011,Germany,Germany,bottled water,50.0,particles/L
4|10.1016/j.watres.2017.11.011,Germany,Germany,bottled water,11.0,particles/L
2|10.1039/c6ay01184e,Germany,Germany,bottled water,1.0,particles/0.33 L
IB|101119.10.3389/fchem.2018.00407,"Jakarta, Indonesia",Indonesia,bottled water,37.1,particles/L
BB 311019 08: 11 PSRL6|10.3389/fchem.2018.00407,"Bali, Indonesia",Indonesia,bottled water,705.0,particles/L
BB 311019 09: 50 STB1|10.3389/fchem.2018.00407,"Medan, Indonesia",Indonesia,bottled water,404.0,particles/L
BN7141A04117|10.3389/fchem.2018.00407,"Chennai, India",India,bottled water,174.0,particles/L
HE.B.No 229 (BM/AS)|10.3389/fchem.2018.00407,"Chennai, India",India,bottled water,826.0,particles/L
MU.N.No.298 (MA/AD)|10.3389/fchem.2018.00407,"Mumbai, India",India,bottled water,213.0,particles/L
SO.B No.087 (AS/LB)|10.3389/fchem.2018.00407,"New Delhi, India",India,bottled water,3.72,particles/L
P18NOV17CG3|10.3389/fchem.2018.00407,"Nairobi, Kenya",Kenya,bottled water,74.6,particles/L
17.11.18|10.3389/fchem.2018.00407,"Mexico City, Mexico",Mexico,bottled water,686.0,particles/L
14.10.18|10.3389/fchem.2018.00407,"Tijuana, Mexico",Mexico,bottled water,20.0,particles/L
09.08.18|10.3389/fchem.2018.00407,"Reynosa, Mexico",Mexico,bottled water,37.3,particles/L
PRD 05 24 17 11:29|10.3389/fchem.2018.00407,"Fredonia, NY, USA",USA,bottled water,58.2,particles/L
07.142018 2|10.3389/fchem.2018.00407,"Fredonia, NY, USA",USA,bottled water,1410.0,particles/L
FAB: 211017 09:06SP|10.3389/fchem.2018.00407,"Sao Paulo, Brazil",Brazil,bottled water,40.1,particles/L
FAB: 160817 15:05SP|10.3389/fchem.2018.00407,"Aparecida de Goiania, Brazil",Brazil,bottled water,12.5,particles/L
FAB: 091217 16:53SP|10.3389/fchem.2018.00407,"Rio de Janerio, Brazil",Brazil,bottled water,150.0,particles/L
P: 4/11/17 03:34 AZ|10.3389/fchem.2018.00407,"Beirut, Lebanon",Lebanon,bottled water,49.3,particles/L
730805210A 23:28|10.3389/fchem.2018.00407,"Bangkok, Thailand",Thailand,bottled water,468.0,particles/L
20171102 1214JN|10.3389/fchem.2018.00407,"Jinan, China",China,bottled water,156.0,particles/L
20171021 3214GH|10.3389/fchem.2018.00407,"Beijing, China",China,bottled water,66.7,particles/L
20171103 2106WF|10.3389/fchem.2018.00407,"Qingdao, China",China,bottled water,67.1,particles/L
Tap Water_Cuba|10.1371/journal.pone.0194970,"Havana, Cuba",Cuba,tap water,7.17,particles/L
Tap Water_Ecuador|10.1371/journal.pone.0194970,"Quito, Ecuador",Ecuador,tap water,4.02,particles/L
Tap Water_England|10.1371/journal.pone.0194970,"London, England",England,tap water,7.73,particles/L
Tap Water_France|10.1371/journal.pone.0194970,"Paris, France",France,tap water,1.82,particles/L
Tap Water_Germany|10.1371/journal.pone.0194970,"Berlin, Germany; Tubingen, Germany",Germany,tap water,0.91,particles/L
